timestamp,demand,demand_forecast,net_generation,total_interchange,forecast_error,imbalance,margin_proxy,demand_delta,generation_delta,imbalance_delta,hour,imbalance_residual
2020-01-01 01:00:00,24297.0,24218.0,11663.0,-8807.0,79.0,12634.0,-21441.0,1800.0,369.0,1431.0,1,5461.0
2020-01-01 02:00:00,26918.0,27321.0,11438.0,-10331.0,-403.0,15480.0,-25811.0,2621.0,-225.0,2846.0,2,6588.0
2020-01-01 03:00:00,26849.0,27460.0,10763.0,-10905.0,-611.0,16086.0,-26991.0,-69.0,-675.0,606.0,3,6206.0
2020-01-01 04:00:00,25968.0,26612.0,10473.0,-10702.0,-644.0,15495.0,-26197.0,-881.0,-290.0,-591.0,4,5280.0
2020-01-01 05:00:00,25044.0,25628.0,10331.0,-10116.0,-584.0,14713.0,-24829.0,-924.0,-142.0,-782.0,5,4186.0
2020-01-01 06:00:00,24185.0,24682.0,10310.0,-9823.0,-497.0,13875.0,-23698.0,-859.0,-21.0,-838.0,6,3280.5
2020-01-01 07:00:00,23305.0,23542.0,10855.0,-9432.0,-237.0,12450.0,-21882.0,-880.0,545.0,-1425.0,7,2158.5
2020-01-01 08:00:00,22467.0,22443.0,10912.0,-9119.0,24.0,11555.0,-20674.0,-838.0,57.0,-895.0,8,1798.5
2020-01-01 09:00:00,21810.0,21435.0,11021.0,-8460.0,375.0,10789.0,-19249.0,-657.0,109.0,-766.0,9,1311.0
2020-01-01 10:00:00,21049.0,20588.0,10378.0,-7876.0,461.0,10671.0,-18547.0,-761.0,-643.0,-118.0,10,1446.0
2020-01-01 11:00:00,20457.0,19945.0,9903.0,-8038.0,512.0,10554.0,-18592.0,-592.0,-475.0,-117.0,11,1591.0
2020-01-01 12:00:00,20118.0,19578.0,9717.0,-8067.0,540.0,10401.0,-18468.0,-339.0,-186.0,-153.0,12,1726.5
2020-01-01 13:00:00,19971.0,19557.0,9525.0,-8022.0,414.0,10446.0,-18468.0,-147.0,-192.0,45.0,13,1927.0
2020-01-01 14:00:00,20256.0,19951.0,9392.0,-8064.0,305.0,10864.0,-18928.0,285.0,-133.0,418.0,14,2728.0
2020-01-01 15:00:00,20747.0,20693.0,9281.0,-8538.0,54.0,11466.0,-20004.0,491.0,-111.0,602.0,15,4488.0
2020-01-01 16:00:00,20729.0,20511.0,10524.0,-8325.0,218.0,10205.0,-18530.0,-18.0,1243.0,-1261.0,16,4562.0
2020-01-01 17:00:00,20282.0,20021.0,13574.0,-6270.0,261.0,6708.0,-12978.0,-447.0,3050.0,-3497.0,17,1854.0
2020-01-01 18:00:00,19653.0,19501.0,14073.0,-4440.0,152.0,5580.0,-10020.0,-629.0,499.0,-1128.0,18,1146.0
2020-01-01 19:00:00,19011.0,19065.0,14325.0,-4147.0,-54.0,4686.0,-8833.0,-642.0,252.0,-894.0,19,619.0
2020-01-01 20:00:00,18677.0,18678.0,14333.0,-3768.0,-1.0,4344.0,-8112.0,-334.0,8.0,-342.0,20,614.0
2020-01-01 21:00:00,18557.0,18609.0,13932.0,-3290.0,-52.0,4625.0,-7915.0,-120.0,-401.0,281.0,21,1088.0
2020-01-01 22:00:00,18685.0,18659.0,15032.0,-3310.0,26.0,3653.0,-6963.0,128.0,1100.0,-972.0,22,113.0
2020-01-01 23:00:00,19676.0,19130.0,14273.0,-3391.0,546.0,5403.0,-8794.0,991.0,-759.0,1750.0,23,1296.5
2020-01-02 00:00:00,20880.0,20071.0,11501.0,-5449.0,809.0,9379.0,-14828.0,1204.0,-2772.0,3976.0,0,3994.0
