period,respondent,respondent-name,type,type-name,value,value-units
2019-01-01T00,CISO,California Independent System Operator,D,Demand,23216,megawatthours
2019-01-01T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22491,megawatthours
2019-01-01T00,CISO,California Independent System Operator,NG,Net generation,15042,megawatthours
2019-01-01T00,CISO,California Independent System Operator,TI,Total interchange,-6138,megawatthours
2019-01-01T01,CISO,California Independent System Operator,D,Demand,24947,megawatthours
2019-01-01T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24210,megawatthours
2019-01-01T01,CISO,California Independent System Operator,NG,Net generation,16935,megawatthours
2019-01-01T01,CISO,California Independent System Operator,TI,Total interchange,-7872,megawatthours
2019-01-01T02,CISO,California Independent System Operator,D,Demand,27654,megawatthours
2019-01-01T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27981,megawatthours
2019-01-01T02,CISO,California Independent System Operator,NG,Net generation,17411,megawatthours
2019-01-01T02,CISO,California Independent System Operator,TI,Total interchange,-8653,megawatthours
2019-01-01T03,CISO,California Independent System Operator,D,Demand,27676,megawatthours
2019-01-01T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28321,megawatthours
2019-01-01T03,CISO,California Independent System Operator,NG,Net generation,16472,megawatthours
2019-01-01T03,CISO,California Independent System Operator,TI,Total interchange,-9112,megawatthours
2019-01-01T04,CISO,California Independent System Operator,D,Demand,26853,megawatthours
2019-01-01T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27377,megawatthours
2019-01-01T04,CISO,California Independent System Operator,NG,Net generation,15930,megawatthours
2019-01-01T04,CISO,California Independent System Operator,TI,Total interchange,-9130,megawatthours
2019-01-01T05,CISO,California Independent System Operator,D,Demand,25940,megawatthours
2019-01-01T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26290,megawatthours
2019-01-01T05,CISO,California Independent System Operator,NG,Net generation,15373,megawatthours
2019-01-01T05,CISO,California Independent System Operator,TI,Total interchange,-8752,megawatthours
2019-01-01T06,CISO,California Independent System Operator,D,Demand,24984,megawatthours
2019-01-01T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25216,megawatthours
2019-01-01T06,CISO,California Independent System Operator,NG,Net generation,15141,megawatthours
2019-01-01T06,CISO,California Independent System Operator,TI,Total interchange,-8403,megawatthours
2019-01-01T07,CISO,California Independent System Operator,D,Demand,23853,megawatthours
2019-01-01T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24223,megawatthours
2019-01-01T07,CISO,California Independent System Operator,NG,Net generation,14872,megawatthours
2019-01-01T07,CISO,California Independent System Operator,TI,Total interchange,-7425,megawatthours
2019-01-01T08,CISO,California Independent System Operator,D,Demand,22803,megawatthours
2019-01-01T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23436,megawatthours
2019-01-01T08,CISO,California Independent System Operator,NG,Net generation,14526,megawatthours
2019-01-01T08,CISO,California Independent System Operator,TI,Total interchange,-6535,megawatthours
2019-01-01T09,CISO,California Independent System Operator,D,Demand,21965,megawatthours
2019-01-01T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22362,megawatthours
2019-01-01T09,CISO,California Independent System Operator,NG,Net generation,13847,megawatthours
2019-01-01T09,CISO,California Independent System Operator,TI,Total interchange,-6292,megawatthours
2019-01-01T10,CISO,California Independent System Operator,D,Demand,21216,megawatthours
2019-01-01T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21444,megawatthours
2019-01-01T10,CISO,California Independent System Operator,NG,Net generation,13286,megawatthours
2019-01-01T10,CISO,California Independent System Operator,TI,Total interchange,-6000,megawatthours
2019-01-01T11,CISO,California Independent System Operator,D,Demand,20631,megawatthours
2019-01-01T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20803,megawatthours
2019-01-01T11,CISO,California Independent System Operator,NG,Net generation,12928,megawatthours
2019-01-01T11,CISO,California Independent System Operator,TI,Total interchange,-5904,megawatthours
2019-01-01T12,CISO,California Independent System Operator,D,Demand,20299,megawatthours
2019-01-01T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20416,megawatthours
2019-01-01T12,CISO,California Independent System Operator,NG,Net generation,12877,megawatthours
2019-01-01T12,CISO,California Independent System Operator,TI,Total interchange,-5923,megawatthours
2019-01-01T13,CISO,California Independent System Operator,D,Demand,20325,megawatthours
2019-01-01T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20364,megawatthours
2019-01-01T13,CISO,California Independent System Operator,NG,Net generation,13267,megawatthours
2019-01-01T13,CISO,California Independent System Operator,TI,Total interchange,-5861,megawatthours
2019-01-01T14,CISO,California Independent System Operator,D,Demand,20781,megawatthours
2019-01-01T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20781,megawatthours
2019-01-01T14,CISO,California Independent System Operator,NG,Net generation,13788,megawatthours
2019-01-01T14,CISO,California Independent System Operator,TI,Total interchange,-5924,megawatthours
2019-01-01T15,CISO,California Independent System Operator,D,Demand,21535,megawatthours
2019-01-01T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21513,megawatthours
2019-01-01T15,CISO,California Independent System Operator,NG,Net generation,14024,megawatthours
2019-01-01T15,CISO,California Independent System Operator,TI,Total interchange,-6117,megawatthours
2019-01-01T16,CISO,California Independent System Operator,D,Demand,21432,megawatthours
2019-01-01T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21516,megawatthours
2019-01-01T16,CISO,California Independent System Operator,NG,Net generation,14742,megawatthours
2019-01-01T16,CISO,California Independent System Operator,TI,Total interchange,-5823,megawatthours
2019-01-01T17,CISO,California Independent System Operator,D,Demand,20645,megawatthours
2019-01-01T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21356,megawatthours
2019-01-01T17,CISO,California Independent System Operator,NG,Net generation,16830,megawatthours
2019-01-01T17,CISO,California Independent System Operator,TI,Total interchange,-4227,megawatthours
2019-01-01T18,CISO,California Independent System Operator,D,Demand,19989,megawatthours
2019-01-01T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20731,megawatthours
2019-01-01T18,CISO,California Independent System Operator,NG,Net generation,16912,megawatthours
2019-01-01T18,CISO,California Independent System Operator,TI,Total interchange,-2187,megawatthours
2019-01-01T19,CISO,California Independent System Operator,D,Demand,19400,megawatthours
2019-01-01T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19959,megawatthours
2019-01-01T19,CISO,California Independent System Operator,NG,Net generation,16968,megawatthours
2019-01-01T19,CISO,California Independent System Operator,TI,Total interchange,-1600,megawatthours
2019-01-01T20,CISO,California Independent System Operator,D,Demand,18818,megawatthours
2019-01-01T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19616,megawatthours
2019-01-01T20,CISO,California Independent System Operator,NG,Net generation,16660,megawatthours
2019-01-01T20,CISO,California Independent System Operator,TI,Total interchange,-1200,megawatthours
2019-01-01T21,CISO,California Independent System Operator,D,Demand,18371,megawatthours
2019-01-01T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19364,megawatthours
2019-01-01T21,CISO,California Independent System Operator,NG,Net generation,16800,megawatthours
2019-01-01T21,CISO,California Independent System Operator,TI,Total interchange,-1009,megawatthours
2019-01-01T22,CISO,California Independent System Operator,D,Demand,18413,megawatthours
2019-01-01T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19564,megawatthours
2019-01-01T22,CISO,California Independent System Operator,NG,Net generation,16565,megawatthours
2019-01-01T22,CISO,California Independent System Operator,TI,Total interchange,-906,megawatthours
2019-01-01T23,CISO,California Independent System Operator,D,Demand,19028,megawatthours
2019-01-01T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19900,megawatthours
2019-01-01T23,CISO,California Independent System Operator,NG,Net generation,15752,megawatthours
2019-01-01T23,CISO,California Independent System Operator,TI,Total interchange,-1905,megawatthours
2019-01-02T00,CISO,California Independent System Operator,D,Demand,20336,megawatthours
2019-01-02T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20621,megawatthours
2019-01-02T00,CISO,California Independent System Operator,NG,Net generation,13932,megawatthours
2019-01-02T00,CISO,California Independent System Operator,TI,Total interchange,-4414,megawatthours
2019-01-02T01,CISO,California Independent System Operator,D,Demand,22860,megawatthours
2019-01-02T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22321,megawatthours
2019-01-02T01,CISO,California Independent System Operator,NG,Net generation,15259,megawatthours
2019-01-02T01,CISO,California Independent System Operator,TI,Total interchange,-7077,megawatthours
2019-01-02T02,CISO,California Independent System Operator,D,Demand,26205,megawatthours
2019-01-02T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25910,megawatthours
2019-01-02T02,CISO,California Independent System Operator,NG,Net generation,16245,megawatthours
2019-01-02T02,CISO,California Independent System Operator,TI,Total interchange,-9050,megawatthours
2019-01-02T03,CISO,California Independent System Operator,D,Demand,26928,megawatthours
2019-01-02T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26953,megawatthours
2019-01-02T03,CISO,California Independent System Operator,NG,Net generation,15823,megawatthours
2019-01-02T03,CISO,California Independent System Operator,TI,Total interchange,-9263,megawatthours
2019-01-02T04,CISO,California Independent System Operator,D,Demand,26754,megawatthours
2019-01-02T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26739,megawatthours
2019-01-02T04,CISO,California Independent System Operator,NG,Net generation,15412,megawatthours
2019-01-02T04,CISO,California Independent System Operator,TI,Total interchange,-9558,megawatthours
2019-01-02T05,CISO,California Independent System Operator,D,Demand,26349,megawatthours
2019-01-02T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26209,megawatthours
2019-01-02T05,CISO,California Independent System Operator,NG,Net generation,14635,megawatthours
2019-01-02T05,CISO,California Independent System Operator,TI,Total interchange,-9728,megawatthours
2019-01-02T06,CISO,California Independent System Operator,D,Demand,25408,megawatthours
2019-01-02T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25313,megawatthours
2019-01-02T06,CISO,California Independent System Operator,NG,Net generation,13654,megawatthours
2019-01-02T06,CISO,California Independent System Operator,TI,Total interchange,-9425,megawatthours
2019-01-02T07,CISO,California Independent System Operator,D,Demand,23870,megawatthours
2019-01-02T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24000,megawatthours
2019-01-02T07,CISO,California Independent System Operator,NG,Net generation,12928,megawatthours
2019-01-02T07,CISO,California Independent System Operator,TI,Total interchange,-9006,megawatthours
2019-01-02T08,CISO,California Independent System Operator,D,Demand,22326,megawatthours
2019-01-02T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22495,megawatthours
2019-01-02T08,CISO,California Independent System Operator,NG,Net generation,12124,megawatthours
2019-01-02T08,CISO,California Independent System Operator,TI,Total interchange,-8324,megawatthours
2019-01-02T09,CISO,California Independent System Operator,D,Demand,21316,megawatthours
2019-01-02T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22496,megawatthours
2019-01-02T09,CISO,California Independent System Operator,NG,Net generation,11883,megawatthours
2019-01-02T09,CISO,California Independent System Operator,TI,Total interchange,-7797,megawatthours
2019-01-02T10,CISO,California Independent System Operator,D,Demand,20612,megawatthours
2019-01-02T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21893,megawatthours
2019-01-02T10,CISO,California Independent System Operator,NG,Net generation,11803,megawatthours
2019-01-02T10,CISO,California Independent System Operator,TI,Total interchange,-7420,megawatthours
2019-01-02T11,CISO,California Independent System Operator,D,Demand,20274,megawatthours
2019-01-02T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21502,megawatthours
2019-01-02T11,CISO,California Independent System Operator,NG,Net generation,11958,megawatthours
2019-01-02T11,CISO,California Independent System Operator,TI,Total interchange,-6892,megawatthours
2019-01-02T12,CISO,California Independent System Operator,D,Demand,20377,megawatthours
2019-01-02T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21509,megawatthours
2019-01-02T12,CISO,California Independent System Operator,NG,Net generation,11926,megawatthours
2019-01-02T12,CISO,California Independent System Operator,TI,Total interchange,-6882,megawatthours
2019-01-02T13,CISO,California Independent System Operator,D,Demand,21130,megawatthours
2019-01-02T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22220,megawatthours
2019-01-02T13,CISO,California Independent System Operator,NG,Net generation,13200,megawatthours
2019-01-02T13,CISO,California Independent System Operator,TI,Total interchange,-7431,megawatthours
2019-01-02T14,CISO,California Independent System Operator,D,Demand,22716,megawatthours
2019-01-02T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24072,megawatthours
2019-01-02T14,CISO,California Independent System Operator,NG,Net generation,14243,megawatthours
2019-01-02T14,CISO,California Independent System Operator,TI,Total interchange,-7603,megawatthours
2019-01-02T15,CISO,California Independent System Operator,D,Demand,24835,megawatthours
2019-01-02T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26978,megawatthours
2019-01-02T15,CISO,California Independent System Operator,NG,Net generation,15469,megawatthours
2019-01-02T15,CISO,California Independent System Operator,TI,Total interchange,-8506,megawatthours
2019-01-02T16,CISO,California Independent System Operator,D,Demand,25802,megawatthours
2019-01-02T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27968,megawatthours
2019-01-02T16,CISO,California Independent System Operator,NG,Net generation,16756,megawatthours
2019-01-02T16,CISO,California Independent System Operator,TI,Total interchange,-8490,megawatthours
2019-01-02T17,CISO,California Independent System Operator,D,Demand,25319,megawatthours
2019-01-02T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26972,megawatthours
2019-01-02T17,CISO,California Independent System Operator,NG,Net generation,18213,megawatthours
2019-01-02T17,CISO,California Independent System Operator,TI,Total interchange,-6856,megawatthours
2019-01-02T18,CISO,California Independent System Operator,D,Demand,24243,megawatthours
2019-01-02T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25772,megawatthours
2019-01-02T18,CISO,California Independent System Operator,NG,Net generation,18033,megawatthours
2019-01-02T18,CISO,California Independent System Operator,TI,Total interchange,-5269,megawatthours
2019-01-02T19,CISO,California Independent System Operator,D,Demand,23328,megawatthours
2019-01-02T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24549,megawatthours
2019-01-02T19,CISO,California Independent System Operator,NG,Net generation,17823,megawatthours
2019-01-02T19,CISO,California Independent System Operator,TI,Total interchange,-4538,megawatthours
2019-01-02T20,CISO,California Independent System Operator,D,Demand,22527,megawatthours
2019-01-02T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23631,megawatthours
2019-01-02T20,CISO,California Independent System Operator,NG,Net generation,17699,megawatthours
2019-01-02T20,CISO,California Independent System Operator,TI,Total interchange,-3706,megawatthours
2019-01-02T21,CISO,California Independent System Operator,D,Demand,22058,megawatthours
2019-01-02T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23114,megawatthours
2019-01-02T21,CISO,California Independent System Operator,NG,Net generation,17607,megawatthours
2019-01-02T21,CISO,California Independent System Operator,TI,Total interchange,-3550,megawatthours
2019-01-02T22,CISO,California Independent System Operator,D,Demand,21992,megawatthours
